Glacier_ID,Area_km2,ELA_Altitude_m
RGI2000-v7.0-G-01-15706,57.07,1739.45
RGI2000-v7.0-G-01-15725,3.28,1757.23
RGI2000-v7.0-G-01-15728,4.91,1819.55
RGI2000-v7.0-G-01-15732,2.58,1870.07
RGI2000-v7.0-G-01-15749,1.55,1719.73
RGI2000-v7.0-G-01-15754,2.53,1721.63
RGI2000-v7.0-G-01-15760,2.54,1683.48
RGI2000-v7.0-G-01-15763,3.65,1710.47
RGI2000-v7.0-G-01-15809,71.67,1684.21
RGI2000-v7.0-G-01-16928,9.59,1661.28
RGI2000-v7.0-G-01-16931,1.37,1356.45
RGI2000-v7.0-G-01-16941,1.06,1724.04
RGI2000-v7.0-G-01-16943,9.71,1698.38
RGI2000-v7.0-G-01-16944,4.12,1664.82
RGI2000-v7.0-G-01-16945,4.84,1636.67
RGI2000-v7.0-G-01-16947,1.09,1703.35
RGI2000-v7.0-G-01-16948,2.11,1654.52
RGI2000-v7.0-G-01-16949,1.77,1670.13
RGI2000-v7.0-G-01-16951,1.72,1639.85
RGI2000-v7.0-G-01-16980,107.86,1917.76
RGI2000-v7.0-G-01-16987,115.28,1785.1
RGI2000-v7.0-G-01-16993,20.21,1632.58
RGI2000-v7.0-G-01-17002,182.55,1597.85
RGI2000-v7.0-G-01-17004,247.31,1914.3
RGI2000-v7.0-G-01-17016,1.26,1839.72
RGI2000-v7.0-G-01-17018,1.8,1786.77
RGI2000-v7.0-G-01-17022,2.29,1850.18
RGI2000-v7.0-G-01-17028,1.0,1418.78
RGI2000-v7.0-G-01-17031,1.42,1757.42
RGI2000-v7.0-G-01-17037,2.04,1656.64
RGI2000-v7.0-G-01-17040,13.26,1929.82
RGI2000-v7.0-G-01-17044,1.19,1740.38
RGI2000-v7.0-G-01-17045,1.42,1656.19
RGI2000-v7.0-G-01-17047,1.24,1683.15
RGI2000-v7.0-G-01-17051,1.43,1463.58
RGI2000-v7.0-G-01-17052,10.35,1659.11
RGI2000-v7.0-G-01-17065,6.86,1597.58
RGI2000-v7.0-G-01-17086,59.04,1922.54
RGI2000-v7.0-G-01-17108,1.51,1720.28
RGI2000-v7.0-G-01-17115,69.16,1738.45
RGI2000-v7.0-G-01-17126,1.36,1669.85
RGI2000-v7.0-G-01-17127,1.84,1723.82
RGI2000-v7.0-G-01-17128,1.62,1607.02
RGI2000-v7.0-G-01-17129,1.44,1645.97
RGI2000-v7.0-G-01-17130,1.19,1672.68
RGI2000-v7.0-G-01-17131,1.12,1629.49
RGI2000-v7.0-G-01-17135,4.69,1796.58
RGI2000-v7.0-G-01-17136,1.05,1650.81
RGI2000-v7.0-G-01-17137,1.13,1737.32
RGI2000-v7.0-G-01-17140,3.48,1966.78
RGI2000-v7.0-G-01-17141,3.07,1953.57
RGI2000-v7.0-G-01-17144,17.9,1906.39
RGI2000-v7.0-G-01-17145,5.26,1937.26
RGI2000-v7.0-G-01-17153,4.17,1770.78
RGI2000-v7.0-G-01-17155,1.23,1515.21
RGI2000-v7.0-G-01-17157,4.54,1631.08
RGI2000-v7.0-G-01-17158,3.73,1670.23
RGI2000-v7.0-G-01-17159,2.96,1648.22
RGI2000-v7.0-G-01-17161,3.87,1776.51
RGI2000-v7.0-G-01-17162,15.1,1704.07
RGI2000-v7.0-G-01-17166,41.06,1462.14
RGI2000-v7.0-G-01-17169,2.91,1655.79
RGI2000-v7.0-G-01-17173,1.92,1694.19
RGI2000-v7.0-G-01-17178,1.89,1478.5
RGI2000-v7.0-G-01-17179,2.04,1529.81
